Saison	Kalenderwoche	Altersgruppe	SARI	Hospitalisierungsinzidenz
2024/25	2025-W08	00+	Gesamt	34.8
2024/25	2025-W08	60-79	COVID-19	1.0
2024/25	2025-W08	80+	COVID-19	3.0
2024/25	2025-W08	00+	COVID-19	0.7
2024/25	2025-W08	00+	Influenza	14.0
2024/25	2025-W08	00+	RSV	2.8
2024/25	2025-W07	0-4	Gesamt	90.1
2024/25	2025-W07	5-14	Gesamt	27.6
2024/25	2025-W07	15-34	Gesamt	5.3
2024/25	2025-W07	35-59	Gesamt	13.1
2024/25	2025-W07	60-79	Gesamt	39.6
2024/25	2025-W07	80+	Gesamt	131.9
2024/25	2025-W07	00+	Gesamt	33.7
2024/25	2025-W07	60-79	COVID-19	0.4
2024/25	2025-W07	80+	COVID-19	5.2
2024/25	2025-W07	00+	COVID-19	0.6
2024/25	2025-W07	00+	Influenza	14.4
2024/25	2025-W07	00+	RSV	2.1
2024/25	2025-W06	0-4	Gesamt	96.1
2024/25	2025-W06	5-14	Gesamt	31.4
2024/25	2025-W06	15-34	Gesamt	7.3
2024/25	2025-W06	35-59	Gesamt	10.8
2024/25	2025-W06	60-79	Gesamt	36.2
2024/25	2025-W06	80+	Gesamt	109.1
2024/25	2025-W06	00+	Gesamt	31.2
2024/25	2025-W06	60-79	COVID-19	1.1
2024/25	2025-W06	80+	COVID-19	4.1
2024/25	2025-W06	00+	COVID-19	0.8
2024/25	2025-W06	00+	Influenza	13.9
2024/25	2025-W06	00+	RSV	2.1
2024/25	2025-W05	0-4	Gesamt	87.3
2024/25	2025-W05	5-14	Gesamt	36.6
2024/25	2025-W05	15-34	Gesamt	7.5
2024/25	2025-W05	35-59	Gesamt	10.5
2024/25	2025-W05	60-79	Gesamt	36.5
2024/25	2025-W05	80+	Gesamt	129.5
2024/25	2025-W05	00+	Gesamt	32.9
2024/25	2025-W05	60-79	COVID-19	1.4
2024/25	2025-W05	80+	COVID-19	8.0
2024/25	2025-W05	00+	COVID-19	1.3
2024/25	2025-W05	00+	Influenza	15.4
2024/25	2025-W05	00+	RSV	1.8
2024/25	2025-W04	0-4	Gesamt	88.7
2024/25	2025-W04	5-14	Gesamt	27.8
2024/25	2025-W04	15-34	Gesamt	4.7
2024/25	2025-W04	35-59	Gesamt	13.3
2024/25	2025-W04	60-79	Gesamt	33.6
2024/25	2025-W04	80+	Gesamt	104.2
2024/25	2025-W04	00+	Gesamt	29.7
2024/25	2025-W04	60-79	COVID-19	1.2
2024/25	2025-W04	80+	COVID-19	4.7
2024/25	2025-W04	00+	COVID-19	1.0
2024/25	2025-W04	00+	Influenza	12.5
2024/25	2025-W04	00+	RSV	1.8
2024/25	2025-W03	0-4	Gesamt	61.3
2024/25	2025-W03	5-14	Gesamt	20.1
2024/25	2025-W03	15-34	Gesamt	5.4
2024/25	2025-W03	35-59	Gesamt	8.5
2024/25	2025-W03	60-79	Gesamt	23.6
2024/25	2025-W03	80+	Gesamt	78.6
2024/25	2025-W03	00+	Gesamt	21.5
2024/25	2025-W03	60-79	COVID-19	1.6
2024/25	2025-W03	80+	COVID-19	3.3
2024/25	2025-W03	00+	COVID-19	0.8
2024/25	2025-W03	00+	Influenza	7.0
2024/25	2025-W03	00+	RSV	1.4
2024/25	2025-W02	0-4	Gesamt	38.1
2024/25	2025-W02	5-14	Gesamt	10.2
2024/25	2025-W02	15-34	Gesamt	4.2
2024/25	2025-W02	35-59	Gesamt	7.7
2024/25	2025-W02	60-79	Gesamt	26.4
2024/25	2025-W02	80+	Gesamt	87.1
2024/25	2025-W02	00+	Gesamt	20.4
2024/25	2025-W02	60-79	COVID-19	1.6
2024/25	2025-W02	80+	COVID-19	6.3
2024/25	2025-W02	00+	COVID-19	1.1
2024/25	2025-W02	00+	Influenza	4.7
2024/25	2025-W02	00+	RSV	0.8
2024/25	2025-W01	0-4	Gesamt	55.7
2024/25	2025-W01	5-14	Gesamt	10.5
2024/25	2025-W01	15-34	Gesamt	5.4
2024/25	2025-W01	35-59	Gesamt	8.5
2024/25	2025-W01	60-79	Gesamt	24.0
2024/25	2025-W01	80+	Gesamt	89.6
2024/25	2025-W01	00+	Gesamt	21.4
2024/25	2025-W01	60-79	COVID-19	1.8
2024/25	2025-W01	80+	COVID-19	11.8
2024/25	2025-W01	00+	COVID-19	1.6
2024/25	2025-W01	00+	Influenza	4.5
2024/25	2025-W01	00+	RSV	1.2
2024/25	2024-W52	0-4	Gesamt	40.8
2024/25	2024-W52	5-14	Gesamt	7.1
2024/25	2024-W52	15-34	Gesamt	3.6
2024/25	2024-W52	35-59	Gesamt	7.5
2024/25	2024-W52	60-79	Gesamt	21.7
2024/25	2024-W52	80+	Gesamt	82.7
2024/25	2024-W52	00+	Gesamt	18.3
2024/25	2024-W52	60-79	COVID-19	2.8
2024/25	2024-W52	80+	COVID-19	16.5
2024/25	2024-W52	00+	COVID-19	2.3
2024/25	2024-W52	00+	Influenza	2.6
2024/25	2024-W52	00+	RSV	0.9
2024/25	2024-W51	0-4	Gesamt	50.1
2024/25	2024-W51	5-14	Gesamt	10.1
2024/25	2024-W51	15-34	Gesamt	4.3
2024/25	2024-W51	35-59	Gesamt	7.7
2024/25	2024-W51	60-79	Gesamt	23.7
2024/25	2024-W51	80+	Gesamt	71.2
2024/25	2024-W51	00+	Gesamt	18.8
2024/25	2024-W51	60-79	COVID-19	3.5
2024/25	2024-W51	80+	COVID-19	14.8
2024/25	2024-W51	00+	COVID-19	2.4
2024/25	2024-W51	00+	Influenza	1.9
2024/25	2024-W51	00+	RSV	0.8
2024/25	2024-W50	0-4	Gesamt	45.5
2024/25	2024-W50	5-14	Gesamt	10.8
2024/25	2024-W50	15-34	Gesamt	6.1
2024/25	2024-W50	35-59	Gesamt	6.6
2024/25	2024-W50	60-79	Gesamt	21.9
2024/25	2024-W50	80+	Gesamt	72.6
2024/25	2024-W50	00+	Gesamt	18.3
2024/25	2024-W50	60-79	COVID-19	3.5
2024/25	2024-W50	80+	COVID-19	17.0
2024/25	2024-W50	00+	COVID-19	2.4
2024/25	2024-W50	00+	Influenza	1.1
2024/25	2024-W50	00+	RSV	0.6
2024/25	2024-W49	0-4	Gesamt	29.2
2024/25	2024-W49	5-14	Gesamt	12.4
2024/25	2024-W49	15-34	Gesamt	5.2
2024/25	2024-W49	35-59	Gesamt	6.4
2024/25	2024-W49	60-79	Gesamt	20.5
2024/25	2024-W49	80+	Gesamt	73.1
2024/25	2024-W49	00+	Gesamt	17.1
2024/25	2024-W49	60-79	COVID-19	4.2
2024/25	2024-W49	80+	COVID-19	20.3
2024/25	2024-W49	00+	COVID-19	2.9
2024/25	2024-W49	00+	Influenza	0.6
2024/25	2024-W49	00+	RSV	0.1
2024/25	2024-W48	0-4	Gesamt	32.0
2024/25	2024-W48	5-14	Gesamt	13.1
2024/25	2024-W48	15-34	Gesamt	4.1
2024/25	2024-W48	35-59	Gesamt	6.3
2024/25	2024-W48	60-79	Gesamt	17.2
2024/25	2024-W48	80+	Gesamt	67.3
2024/25	2024-W48	00+	Gesamt	15.7
2024/25	2024-W48	60-79	COVID-19	3.2
2024/25	2024-W48	80+	COVID-19	18.1
2024/25	2024-W48	00+	COVID-19	2.7
2024/25	2024-W48	00+	Influenza	0.5
2024/25	2024-W48	00+	RSV	0.3
2024/25	2024-W47	0-4	Gesamt	26.9
2024/25	2024-W47	5-14	Gesamt	12.1
2024/25	2024-W47	15-34	Gesamt	5.3
2024/25	2024-W47	35-59	Gesamt	5.6
2024/25	2024-W47	60-79	Gesamt	19.8
2024/25	2024-W47	80+	Gesamt	68.4
2024/25	2024-W47	00+	Gesamt	16.1
2024/25	2024-W47	60-79	COVID-19	4.4
2024/25	2024-W47	80+	COVID-19	21.2
2024/25	2024-W47	00+	COVID-19	3.2
2024/25	2024-W47	00+	Influenza	0.2
2024/25	2024-W47	00+	RSV	0.0
2024/25	2024-W46	0-4	Gesamt	31.6
2024/25	2024-W46	5-14	Gesamt	9.8
2024/25	2024-W46	15-34	Gesamt	6.0
2024/25	2024-W46	35-59	Gesamt	6.9
2024/25	2024-W46	60-79	Gesamt	19.7
2024/25	2024-W46	80+	Gesamt	63.8
2024/25	2024-W46	00+	Gesamt	16.3
2024/25	2024-W46	60-79	COVID-19	4.4
2024/25	2024-W46	80+	COVID-19	18.4
2024/25	2024-W46	00+	COVID-19	2.9
2024/25	2024-W46	00+	Influenza	0.2
2024/25	2024-W46	00+	RSV	0.1
2024/25	2024-W45	0-4	Gesamt	31.6
2024/25	2024-W45	5-14	Gesamt	11.2
2024/25	2024-W45	15-34	Gesamt	4.3
2024/25	2024-W45	35-59	Gesamt	6.9
2024/25	2024-W45	60-79	Gesamt	18.6
2024/25	2024-W45	80+	Gesamt	68.2
2024/25	2024-W45	00+	Gesamt	16.2
2024/25	2024-W45	60-79	COVID-19	4.8
2024/25	2024-W45	80+	COVID-19	23.1
2024/25	2024-W45	00+	COVID-19	3.4
2024/25	2024-W45	00+	Influenza	0.1
2024/25	2024-W45	00+	RSV	0.0
2024/25	2024-W44	0-4	Gesamt	33.0
2024/25	2024-W44	5-14	Gesamt	11.0
2024/25	2024-W44	15-34	Gesamt	5.4
2024/25	2024-W44	35-59	Gesamt	5.2
2024/25	2024-W44	60-79	Gesamt	17.5
2024/25	2024-W44	80+	Gesamt	70.1
2024/25	2024-W44	00+	Gesamt	15.8
2024/25	2024-W44	60-79	COVID-19	4.8
2024/25	2024-W44	80+	COVID-19	27.2
2024/25	2024-W44	00+	COVID-19	3.8
2024/25	2024-W44	00+	Influenza	0.2
2024/25	2024-W44	00+	RSV	0.1
2024/25	2024-W43	0-4	Gesamt	20.4
2024/25	2024-W43	5-14	Gesamt	10.8
2024/25	2024-W43	15-34	Gesamt	4.6
2024/25	2024-W43	35-59	Gesamt	6.9
2024/25	2024-W43	60-79	Gesamt	20.0
2024/25	2024-W43	80+	Gesamt	74.8
2024/25	2024-W43	00+	Gesamt	16.6
2024/25	2024-W43	60-79	COVID-19	7.0
2024/25	2024-W43	80+	COVID-19	30.5
2024/25	2024-W43	00+	COVID-19	4.7
2024/25	2024-W43	00+	Influenza	0.2
2024/25	2024-W43	00+	RSV	0.0
2024/25	2024-W42	0-4	Gesamt	22.7
2024/25	2024-W42	5-14	Gesamt	8.0
2024/25	2024-W42	15-34	Gesamt	4.6
2024/25	2024-W42	35-59	Gesamt	5.2
2024/25	2024-W42	60-79	Gesamt	20.3
2024/25	2024-W42	80+	Gesamt	70.1
2024/25	2024-W42	00+	Gesamt	15.5
2024/25	2024-W42	60-79	COVID-19	5.8
2024/25	2024-W42	80+	COVID-19	28.3
2024/25	2024-W42	00+	COVID-19	4.2
2024/25	2024-W42	00+	Influenza	0.2
2024/25	2024-W42	00+	RSV	0.0
2024/25	2024-W41	0-4	Gesamt	25.5
2024/25	2024-W41	5-14	Gesamt	7.6
2024/25	2024-W41	15-34	Gesamt	4.2
2024/25	2024-W41	35-59	Gesamt	6.1
2024/25	2024-W41	60-79	Gesamt	17.9
2024/25	2024-W41	80+	Gesamt	73.7
2024/25	2024-W41	00+	Gesamt	15.5
2024/25	2024-W41	60-79	COVID-19	4.8
2024/25	2024-W41	80+	COVID-19	29.7
2024/25	2024-W41	00+	COVID-19	4.1
2024/25	2024-W41	00+	Influenza	0.2
2024/25	2024-W41	00+	RSV	0.1
2024/25	2024-W40	0-4	Gesamt	27.4
2024/25	2024-W40	5-14	Gesamt	11.7
2024/25	2024-W40	15-34	Gesamt	4.9
2024/25	2024-W40	35-59	Gesamt	5.0
2024/25	2024-W40	60-79	Gesamt	14.6
2024/25	2024-W40	80+	Gesamt	58.8
2024/25	2024-W40	00+	Gesamt	13.8
2024/25	2024-W40	60-79	COVID-19	4.7
2024/25	2024-W40	80+	COVID-19	25.8
2024/25	2024-W40	00+	COVID-19	3.6
2024/25	2024-W40	00+	Influenza	0.0
2024/25	2024-W40	00+	RSV	0.0
2023/24	2024-W39	0-4	Gesamt	27.9
2023/24	2024-W39	5-14	Gesamt	12.1
2023/24	2024-W39	15-34	Gesamt	4.6
2023/24	2024-W39	35-59	Gesamt	6.1
2023/24	2024-W39	60-79	Gesamt	16.4
2023/24	2024-W39	80+	Gesamt	59.9
2023/24	2024-W39	00+	Gesamt	14.6
2023/24	2024-W39	60-79	COVID-19	4.4
2023/24	2024-W39	80+	COVID-19	19.8
2023/24	2024-W39	00+	COVID-19	3.1
2023/24	2024-W39	00+	Influenza	0.1
2023/24	2024-W39	00+	RSV	0.0
2023/24	2024-W38	0-4	Gesamt	26.9
2023/24	2024-W38	5-14	Gesamt	8.2
2023/24	2024-W38	15-34	Gesamt	4.6
2023/24	2024-W38	35-59	Gesamt	5.2
2023/24	2024-W38	60-79	Gesamt	14.2
2023/24	2024-W38	80+	Gesamt	62.9
2023/24	2024-W38	00+	Gesamt	13.6
2023/24	2024-W38	60-79	COVID-19	3.4
2023/24	2024-W38	80+	COVID-19	22.8
2023/24	2024-W38	00+	COVID-19	3.0
2023/24	2024-W38	00+	Influenza	0.1
2023/24	2024-W38	00+	RSV	0.0
2023/24	2024-W37	0-4	Gesamt	23.2
2023/24	2024-W37	5-14	Gesamt	7.3
2023/24	2024-W37	15-34	Gesamt	4.8
2023/24	2024-W37	35-59	Gesamt	4.3
2023/24	2024-W37	60-79	Gesamt	10.7
2023/24	2024-W37	80+	Gesamt	35.7
2023/24	2024-W37	00+	Gesamt	9.9
2023/24	2024-W37	60-79	COVID-19	2.5
2023/24	2024-W37	80+	COVID-19	11.0
2023/24	2024-W37	00+	COVID-19	1.8
2023/24	2024-W37	00+	Influenza	0.0
2023/24	2024-W37	00+	RSV	0.0
2023/24	2024-W36	0-4	Gesamt	24.1
2023/24	2024-W36	5-14	Gesamt	9.4
2023/24	2024-W36	15-34	Gesamt	6.0
2023/24	2024-W36	35-59	Gesamt	5.5
2023/24	2024-W36	60-79	Gesamt	14.5
2023/24	2024-W36	80+	Gesamt	47.8
2023/24	2024-W36	00+	Gesamt	12.8
2023/24	2024-W36	60-79	COVID-19	2.1
2023/24	2024-W36	80+	COVID-19	15.7
2023/24	2024-W36	00+	COVID-19	2.1
2023/24	2024-W36	00+	Influenza	0.1
2023/24	2024-W36	00+	RSV	0.0
2023/24	2024-W35	0-4	Gesamt	23.7
2023/24	2024-W35	5-14	Gesamt	8.0
2023/24	2024-W35	15-34	Gesamt	5.5
2023/24	2024-W35	35-59	Gesamt	3.9
2023/24	2024-W35	60-79	Gesamt	13.4
2023/24	2024-W35	80+	Gesamt	48.9
2023/24	2024-W35	00+	Gesamt	11.8
2023/24	2024-W35	60-79	COVID-19	2.7
2023/24	2024-W35	80+	COVID-19	12.1
2023/24	2024-W35	00+	COVID-19	2.0
2023/24	2024-W35	00+	Influenza	0.2
2023/24	2024-W35	00+	RSV	0.0
2023/24	2024-W34	0-4	Gesamt	18.1
2023/24	2024-W34	5-14	Gesamt	9.4
2023/24	2024-W34	15-34	Gesamt	5.4
2023/24	2024-W34	35-59	Gesamt	4.7
2023/24	2024-W34	60-79	Gesamt	13.3
2023/24	2024-W34	80+	Gesamt	48.4
2023/24	2024-W34	00+	Gesamt	11.9
2023/24	2024-W34	60-79	COVID-19	1.5
2023/24	2024-W34	80+	COVID-19	10.2
2023/24	2024-W34	00+	COVID-19	1.5
2023/24	2024-W34	00+	Influenza	0.0
2023/24	2024-W34	00+	RSV	0.0
2023/24	2024-W33	0-4	Gesamt	13.9
2023/24	2024-W33	5-14	Gesamt	7.6
2023/24	2024-W33	15-34	Gesamt	4.9
2023/24	2024-W33	35-59	Gesamt	5.0
2023/24	2024-W33	60-79	Gesamt	13.0
2023/24	2024-W33	80+	Gesamt	48.9
2023/24	2024-W33	00+	Gesamt	11.4
2023/24	2024-W33	60-79	COVID-19	2.3
2023/24	2024-W33	80+	COVID-19	9.9
2023/24	2024-W33	00+	COVID-19	1.6
2023/24	2024-W33	00+	Influenza	0.0
2023/24	2024-W33	00+	RSV	0.0
2023/24	2024-W32	0-4	Gesamt	16.7
2023/24	2024-W32	5-14	Gesamt	6.0
2023/24	2024-W32	15-34	Gesamt	4.2
2023/24	2024-W32	35-59	Gesamt	5.6
2023/24	2024-W32	60-79	Gesamt	14.8
2023/24	2024-W32	80+	Gesamt	51.1
2023/24	2024-W32	00+	Gesamt	12.1
2023/24	2024-W32	60-79	COVID-19	2.9
2023/24	2024-W32	80+	COVID-19	8.2
2023/24	2024-W32	00+	COVID-19	1.6
2023/24	2024-W32	00+	Influenza	0.0
2023/24	2024-W32	00+	RSV	0.0
2023/24	2024-W31	0-4	Gesamt	15.3
2023/24	2024-W31	5-14	Gesamt	6.2
2023/24	2024-W31	15-34	Gesamt	4.8
2023/24	2024-W31	35-59	Gesamt	4.7
2023/24	2024-W31	60-79	Gesamt	11.7
2023/24	2024-W31	80+	Gesamt	41.5
2023/24	2024-W31	00+	Gesamt	10.3
2023/24	2024-W31	60-79	COVID-19	1.5
2023/24	2024-W31	80+	COVID-19	11.8
2023/24	2024-W31	00+	COVID-19	1.5
2023/24	2024-W31	00+	Influenza	0.0
2023/24	2024-W31	00+	RSV	0.0
2023/24	2024-W30	0-4	Gesamt	15.8
2023/24	2024-W30	5-14	Gesamt	6.0
2023/24	2024-W30	15-34	Gesamt	4.1
2023/24	2024-W30	35-59	Gesamt	4.7
2023/24	2024-W30	60-79	Gesamt	12.8
2023/24	2024-W30	80+	Gesamt	41.2
2023/24	2024-W30	00+	Gesamt	10.4
2023/24	2024-W30	60-79	COVID-19	1.6
2023/24	2024-W30	80+	COVID-19	9.1
2023/24	2024-W30	00+	COVID-19	1.3
2023/24	2024-W30	00+	Influenza	0.0
2023/24	2024-W30	00+	RSV	0.0
2023/24	2024-W29	0-4	Gesamt	17.6
2023/24	2024-W29	5-14	Gesamt	3.2
2023/24	2024-W29	15-34	Gesamt	5.3
2023/24	2024-W29	35-59	Gesamt	5.2
2023/24	2024-W29	60-79	Gesamt	15.0
2023/24	2024-W29	80+	Gesamt	52.8
2023/24	2024-W29	00+	Gesamt	12.1
2023/24	2024-W29	60-79	COVID-19	1.5
2023/24	2024-W29	80+	COVID-19	9.6
2023/24	2024-W29	00+	COVID-19	1.4
2023/24	2024-W29	00+	Influenza	0.1
2023/24	2024-W29	00+	RSV	0.0
2023/24	2024-W28	0-4	Gesamt	14.9
2023/24	2024-W28	5-14	Gesamt	7.6
2023/24	2024-W28	15-34	Gesamt	3.3
2023/24	2024-W28	35-59	Gesamt	4.2
2023/24	2024-W28	60-79	Gesamt	13.5
2023/24	2024-W28	80+	Gesamt	47.8
2023/24	2024-W28	00+	Gesamt	10.9
2023/24	2024-W28	60-79	COVID-19	2.0
2023/24	2024-W28	80+	COVID-19	6.6
2023/24	2024-W28	00+	COVID-19	1.2
2023/24	2024-W28	00+	Influenza	0.0
2023/24	2024-W28	00+	RSV	0.0
2023/24	2024-W27	0-4	Gesamt	16.2
2023/24	2024-W27	5-14	Gesamt	6.9
2023/24	2024-W27	15-34	Gesamt	4.8
2023/24	2024-W27	35-59	Gesamt	3.9
2023/24	2024-W27	60-79	Gesamt	13.8
2023/24	2024-W27	80+	Gesamt	47.6
2023/24	2024-W27	00+	Gesamt	11.2
2023/24	2024-W27	60-79	COVID-19	1.0
2023/24	2024-W27	80+	COVID-19	5.8
2023/24	2024-W27	00+	COVID-19	0.9
2023/24	2024-W27	00+	Influenza	0.1
2023/24	2024-W27	00+	RSV	0.0
2023/24	2024-W26	0-4	Gesamt	23.2
2023/24	2024-W26	5-14	Gesamt	9.6
2023/24	2024-W26	15-34	Gesamt	4.5
2023/24	2024-W26	35-59	Gesamt	3.8
2023/24	2024-W26	60-79	Gesamt	15.9
2023/24	2024-W26	80+	Gesamt	45.9
2023/24	2024-W26	00+	Gesamt	12.1
2023/24	2024-W26	60-79	COVID-19	1.3
2023/24	2024-W26	80+	COVID-19	8.0
2023/24	2024-W26	00+	COVID-19	1.1
2023/24	2024-W26	00+	Influenza	0.0
2023/24	2024-W26	00+	RSV	0.0
2023/24	2024-W25	0-4	Gesamt	26.9
2023/24	2024-W25	5-14	Gesamt	11.0
2023/24	2024-W25	15-34	Gesamt	3.7
2023/24	2024-W25	35-59	Gesamt	4.6
2023/24	2024-W25	60-79	Gesamt	13.4
2023/24	2024-W25	80+	Gesamt	44.8
2023/24	2024-W25	00+	Gesamt	11.8
2023/24	2024-W25	60-79	COVID-19	0.9
2023/24	2024-W25	80+	COVID-19	3.6
2023/24	2024-W25	00+	COVID-19	0.7
2023/24	2024-W25	00+	Influenza	0.1
2023/24	2024-W25	00+	RSV	0.0
2023/24	2024-W24	0-4	Gesamt	25.1
2023/24	2024-W24	5-14	Gesamt	8.0
2023/24	2024-W24	15-34	Gesamt	4.5
2023/24	2024-W24	35-59	Gesamt	4.0
2023/24	2024-W24	60-79	Gesamt	14.3
2023/24	2024-W24	80+	Gesamt	43.2
2023/24	2024-W24	00+	Gesamt	11.4
2023/24	2024-W24	60-79	COVID-19	0.6
2023/24	2024-W24	80+	COVID-19	4.7
2023/24	2024-W24	00+	COVID-19	0.6
2023/24	2024-W24	00+	Influenza	0.1
2023/24	2024-W24	00+	RSV	0.0
2023/24	2024-W23	0-4	Gesamt	27.9
2023/24	2024-W23	5-14	Gesamt	7.6
2023/24	2024-W23	15-34	Gesamt	4.0
2023/24	2024-W23	35-59	Gesamt	4.0
2023/24	2024-W23	60-79	Gesamt	14.7
2023/24	2024-W23	80+	Gesamt	38.2
2023/24	2024-W23	00+	Gesamt	11.1
2023/24	2024-W23	60-79	COVID-19	0.3
2023/24	2024-W23	80+	COVID-19	0.5
2023/24	2024-W23	00+	COVID-19	0.2
2023/24	2024-W23	00+	Influenza	0.1
2023/24	2024-W23	00+	RSV	0.0
2023/24	2024-W22	0-4	Gesamt	23.7
2023/24	2024-W22	5-14	Gesamt	7.8
2023/24	2024-W22	15-34	Gesamt	3.9
2023/24	2024-W22	35-59	Gesamt	4.5
2023/24	2024-W22	60-79	Gesamt	15.6
2023/24	2024-W22	80+	Gesamt	40.7
2023/24	2024-W22	00+	Gesamt	11.5
2023/24	2024-W22	60-79	COVID-19	0.5
2023/24	2024-W22	80+	COVID-19	1.1
2023/24	2024-W22	00+	COVID-19	0.3
2023/24	2024-W22	00+	Influenza	0.2
2023/24	2024-W22	00+	RSV	0.0
2023/24	2024-W21	0-4	Gesamt	29.2
2023/24	2024-W21	5-14	Gesamt	6.0
2023/24	2024-W21	15-34	Gesamt	4.6
2023/24	2024-W21	35-59	Gesamt	4.1
2023/24	2024-W21	60-79	Gesamt	14.1
2023/24	2024-W21	80+	Gesamt	47.3
2023/24	2024-W21	00+	Gesamt	11.8
2023/24	2024-W21	60-79	COVID-19	0.3
2023/24	2024-W21	80+	COVID-19	1.9
2023/24	2024-W21	00+	COVID-19	0.3
2023/24	2024-W21	00+	Influenza	0.1
2023/24	2024-W21	00+	RSV	0.0
2023/24	2024-W20	0-4	Gesamt	24.1
2023/24	2024-W20	5-14	Gesamt	4.8
2023/24	2024-W20	15-34	Gesamt	3.4
2023/24	2024-W20	35-59	Gesamt	5.1
2023/24	2024-W20	60-79	Gesamt	17.0
2023/24	2024-W20	80+	Gesamt	54.7
2023/24	2024-W20	00+	Gesamt	12.9
2023/24	2024-W20	60-79	COVID-19	0.7
2023/24	2024-W20	80+	COVID-19	1.6
2023/24	2024-W20	00+	COVID-19	0.3
2023/24	2024-W20	00+	Influenza	0.1
2023/24	2024-W20	00+	RSV	0.0
2023/24	2024-W19	0-4	Gesamt	28.8
2023/24	2024-W19	5-14	Gesamt	8.9
2023/24	2024-W19	15-34	Gesamt	2.4
2023/24	2024-W19	35-59	Gesamt	5.5
2023/24	2024-W19	60-79	Gesamt	14.1
2023/24	2024-W19	80+	Gesamt	53.3
2023/24	2024-W19	00+	Gesamt	12.6
2023/24	2024-W19	60-79	COVID-19	0.7
2023/24	2024-W19	80+	COVID-19	2.2
